start,end,today,intro_002,intro_001,region,name,gender,age,Email,mobile,partner_name,csa,csa/registering_to_vote,csa/voting,csa/community_level_organizing,csa/social_media_advocacy,csa/meetings_with_governments_to_advocate_fo,csa/other_advocacy_initiatives_as_organized_,csa_other,engagement,friends_people,new_org,global_mov,fundraise,other_changes,specifics,thank,_id,_uuid,_submission_time,_validation_status,_notes,_status,_submitted_by,__version__,_tags,_index
2024-08-30,2024-08-30,2024-08-29,,,MAYUGE,LALALA,CISGENDER,23.0,23232323.0,2323232323.0,LOCAL_PARTNER1,VOTING COMMUNITY_LEVEL_ORGANIZING,0.0,0.0,0.0,0.0,0.0,0.0,,,-2.0,-1.0,1.0,2.0,3324324324.0,234234324.0,,377698356.0,EC4CF560-9AE2-4FFD-A8C6-4F0CFCB6B085,2024-08-30,,,SUBMITTED_VIA_WEB,,VVCKZNX6UEYZURCNRHBSAV,,1.0
2024-08-31,2024-08-31,2024-08-30,,,MAYUGE,LALALA1,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2024-09-01,2024-09-01,2024-08-31,,,MAYUGE,LALALA2,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2024-09-02,2024-09-02,2024-09-01,,,MAYUGE,LALALA3,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2024-09-03,2024-09-03,2024-09-02,,,MAYUGE,LALALA,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2024-09-04,2024-09-04,2024-09-03,,,MAYUGE,LALALA2,,,,,,,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
2024-09-05,2024-09-05,2024-09-04,,,MAYUGE,LALALA3,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
2024-09-06,2024-09-06,2024-09-05,,,MAYUGE,LALALA4,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2024-09-07,2024-09-07,2024-09-06,,,MAYUGE,LALALA,,,,,,,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,
2024-09-08,2024-09-08,2024-09-07,,,MAYUGE,LALALA3,,,,,,,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,
2024-09-09,2024-09-09,2024-09-08,,,MAYUGE,LALALA4,,,,,,,0.0,1.0,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,
2024-09-10,2024-09-10,2024-09-09,,,MAYUGE,LALALA5,,,,,,,1.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,
2024-09-11,2024-09-11,2024-09-10,,,MAYUGE,LALALA,,,,,,,0.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,
2024-09-12,2024-09-12,2024-09-11,,,MAYUGE,LALALA4,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2024-09-13,2024-09-13,2024-09-12,,,MAYUGE,LALALA5,,,,,,,1.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,
2024-09-14,2024-09-14,2024-09-13,,,MAYUGE,LALALA6,,,,,,,0.0,0.0,1.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
2024-09-15,2024-09-15,2024-09-14,,,MAYUGE,LALALA,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2024-09-16,2024-09-16,2024-09-15,,,MAYUGE,LALALA5,,,,,,,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
2024-09-17,2024-09-17,2024-09-16,,,MAYUGE,LALALA6,,,,,,,1.0,1.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,
2024-09-18,2024-09-18,2024-09-17,,,MAYUGE,LALALA7,,,,,,,0.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,
2024-09-19,2024-09-19,2024-09-18,,,MAYUGE,LALALA,,,,,,,1.0,0.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,
2024-09-20,2024-09-20,2024-09-19,,,MAYUGE,LALALA6,,,,,,,1.0,1.0,1.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
2024-09-21,2024-09-21,2024-09-20,,,MAYUGE,LALALA7,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,
2024-09-22,2024-09-22,2024-09-21,,,MAYUGE,LALALA8,,,,,,,1.0,1.0,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,
2024-09-23,2024-09-23,2024-09-22,,,MAYUGE,LALALA,,,,,,,0.0,1.0,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,
2024-09-24,2024-09-24,2024-09-23,,,MAYUGE,LALALA,,,,,,,0.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2024-09-25,2024-09-25,2024-09-24,,,MAYUGE,LALALA2,,,,,,,1.0,0.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,
2024-09-26,2024-09-26,2024-09-25,,,MAYUGE,LALALA3,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,
2024-09-27,2024-09-27,2024-09-26,,,MAYUGE,LALALA4,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,
2024-09-28,2024-09-28,2024-09-27,,,MAYUGE,LALALA,,,,,,,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,
2024-09-29,2024-09-29,2024-09-28,,,MAYUGE,LALALA3,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2024-09-30,2024-09-30,2024-09-29,,,MAYUGE,LALALA4,,,,,,,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,
2024-10-01,2024-10-01,2024-09-30,,,MAYUGE,LALALA5,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
2024-10-02,2024-10-02,2024-10-01,,,MAYUGE,LALALA,,,,,,,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,
