start,end,today,intro_002,region,name,gender,age,Email,mobile,soft_skills_header,public_speech,text,decisions,guiding_new_activi,work_effective,disagreement,emotions,feelings,motivation,prioritytask,c2_header,what_is,impact,globaldecision,strategy,c2header1,digital,gov,cop,data,c3_note,k_climatechange,deforest,k_justice,life_affect,life_affect/water,life_affect/livingcost,life_affect/menstruation,life_affect/health,life_affect/school,life_affect/agriculture,life_affect/conflict,life_affect/dont_feel,k_adaptation,k_adaptation/a,k_adaptation/b,k_adaptation/c,k_adaptation/d,k_adaptation/e,k_adaptation/f,k_adaptation/g,unequal_impact,unequal_impact/a,unequal_impact/b,unequal_impact/c,unequal_impact/d,unequal_impact/e,unequal_impact/f,c4green_header,NBS,ESG,AGROEC,RECYCLE,ECOTOUR,HANDCRAFT,c4green_header_001,challenge,gaps,community,ancestral,header_ch,land,finance,edu,socialnorm,genderrole,markets,infra,knowledge,climateshock,What_are_the_most_im_ies_you_have_learned,What_aspects_of_the_t_beneficial_for_you,What_improvements_wo_re_training_sessions,thank,_id,_uuid,_submission_time,_validation_status,_notes,_status,_submitted_by,__version__,_tags,_index
2024-09-02,2024-09-02,2024-09-01,,jinja_city,AA1,,20,,8999999999,,-2,-1,1,2,2,1,-1,-2,-2,-2,,-2,-1,1,2,,-2,-1,1,2,,a,d,c,water agriculture,1,0,0,0,0,1,0,0,d b,0,1,0,1,0,0,0,d f,0,0,0,1,0,1,,-2,-1,1,2,-2,-2,,-2,-1,1,2,,1,2,2,2,3,3,4,4,4,sdfdsfsd,sdfsdfsdf,sdfsdfds,,378649184,c2da3c68-2155-4c93-9a93-b832f7c60924,2024-09-02,,,submitted_via_web,,vjeTiD7yZMCSvoxDEQX64n,,1
2024-08-30,2024-08-30,2024-08-29,,napak,AAA1,,18,,9000000000,,1,-1,-2,-2,-2,0,-2,2,-1,-1,1,-2,-2,-2,-2,2,-2,-1,-1,1,2,-1,2,-1,0,2,-2,1,-1,2,,,,,,,,,,,,,,,,,,,,0,-2,0,2,-1,-1,0,-1,-2,-1,0,1,-2,1,0,-1,-1,1,0,-1,-2,1,0,1,-1,0,-2,0,,,,,,,
2024-08-31,2024-08-31,2024-08-30,,napak,AAA2,,19,,9000000001,,1,2,0,-1,0,2,-2,-2,-2,-2,-1,-1,0,-1,1,-2,-2,-1,2,-2,2,0,2,1,0,-1,1,2,2,2,,,,,,,,,,,,,,,,,,,,0,0,1,0,2,2,1,0,0,-2,-2,2,-2,-1,0,-1,1,2,1,-1,-2,2,0,1,0,0,-1,2,,,,,,,
2024-09-01,2024-09-01,2024-08-31,,napak,AAA3,,23,,9000000002,,0,2,2,-2,-1,0,0,-2,-1,2,1,-2,-1,1,-2,1,-2,0,-1,1,0,2,0,2,0,2,2,1,-2,-2,,,,,,,,,,,,,,,,,,,,0,0,-1,-2,0,2,1,1,1,-2,-1,-1,-2,1,1,-1,1,0,2,2,-1,1,-2,2,2,1,-2,-2,,,,,,,
2024-09-02,2024-09-02,2024-09-01,,napak,AAA4,,18,,9000000003,,0,1,0,-1,0,0,2,1,-1,2,1,1,2,1,2,1,0,0,1,-2,-1,-1,2,2,0,0,-2,-2,1,2,,,,,,,,,,,,,,,,,,,,1,1,0,-2,-1,2,1,1,0,-1,-2,-1,0,1,1,-1,0,-2,0,1,0,-1,1,0,0,-1,-1,0,,,,,,,
2024-09-03,2024-09-03,2024-09-02,,napak,AAA5,,23,,9000000004,,1,-1,-2,1,-2,1,1,-1,2,-1,-2,1,-1,1,0,0,-1,-2,-1,2,0,1,-2,0,-1,-2,2,0,0,2,,,,,,,,,,,,,,,,,,,,1,1,1,-2,0,-1,2,-2,-1,-2,2,-1,0,-2,0,1,-1,1,0,-2,0,1,0,-1,-1,2,-2,0,,,,,,,
2024-09-04,2024-09-04,2024-09-03,,napak,AAA6,,13,,9000000005,,0,-2,1,2,2,-2,1,1,-2,2,1,-2,2,-2,2,-1,1,0,-2,2,-2,2,-2,2,0,-1,1,-1,0,-1,,,,,,,,,,,,,,,,,,,,-1,1,1,-1,0,2,-2,1,-2,0,2,0,1,-1,-1,0,-2,0,1,-1,1,-1,2,-2,2,1,2,0,,,,,,,
2024-09-05,2024-09-05,2024-09-04,,napak,AAA7,,17,,9000000006,,-2,1,2,-2,0,1,-1,0,-1,2,-2,0,-1,-1,-1,-2,1,2,2,-1,-1,2,-2,2,-1,0,1,-1,-2,0,,,,,,,,,,,,,,,,,,,,-2,0,2,1,-1,-2,0,2,-2,-1,1,0,0,-1,2,1,2,-1,0,1,1,1,2,0,-2,0,1,-2,,,,,,,
2024-09-06,2024-09-06,2024-09-05,,napak,AAA8,,17,,9000000007,,2,1,-2,1,2,2,1,-2,2,-2,-1,-2,0,1,0,-1,0,-1,2,0,1,1,-1,-2,2,1,2,1,0,-2,,,,,,,,,,,,,,,,,,,,-1,2,1,-1,2,-2,-2,2,0,-2,-1,-1,0,1,1,2,-2,-2,2,-1,2,2,-1,1,2,-2,1,-1,,,,,,,
2024-09-07,2024-09-07,2024-09-06,,napak,AAA9,,24,,9000000008,,-2,-1,-1,0,2,1,2,-2,-1,0,1,-2,2,0,2,-2,2,-1,1,-1,1,-1,0,-2,1,-2,0,2,1,2,,,,,,,,,,,,,,,,,,,,2,0,-2,0,1,0,1,2,0,-1,-1,1,-1,0,-2,-2,0,1,0,-2,-2,1,2,-1,2,0,2,2,,,,,,,
