start,end,today,intro_002,intro_001,region,name,gender,age,Email,mobile,partner_name,csa,csa/registering_to_vote,csa/voting,csa/community_level_organizing,csa/social_media_advocacy,csa/meetings_with_governments_to_advocate_fo,csa/other_advocacy_initiatives_as_organized_,csa_other,engagement,friends_people,new_org,global_mov,fundraise,other_changes,specifics,thank,_id,_uuid,_submission_time,_validation_status,_notes,_status,_submitted_by,__version__,_tags,_index
2024-08-30,2024-08-30,2024-08-29,,,mayuge,lalala,cisgender,23,23232323,2323232323,local_partner1,voting community_level_organizing,0,0,0,0,0,0,,,-2,-1,1,2,3324324324,234234324,,377698356,ec4cf560-9ae2-4ffd-a8c6-4f0cfcb6b085,2024-08-30,,,submitted_via_web,,vvCkzNX6UeyzuRCNrhbsAv,,1
2024-08-31,2024-08-31,2024-08-30,,,mayuge,lalala1,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
2024-09-01,2024-09-01,2024-08-31,,,mayuge,lalala2,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
2024-09-02,2024-09-02,2024-09-01,,,mayuge,lalala3,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
2024-09-03,2024-09-03,2024-09-02,,,mayuge,lalala,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
2024-09-04,2024-09-04,2024-09-03,,,mayuge,lalala2,,,,,,,0,0,1,1,1,1,,,,,,,,,,,,,,,,,,,
2024-09-05,2024-09-05,2024-09-04,,,mayuge,lalala3,,,,,,,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,
2024-09-06,2024-09-06,2024-09-05,,,mayuge,lalala4,,,,,,,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,
2024-09-07,2024-09-07,2024-09-06,,,mayuge,lalala,,,,,,,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,,
2024-09-08,2024-09-08,2024-09-07,,,mayuge,lalala3,,,,,,,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,
2024-09-09,2024-09-09,2024-09-08,,,mayuge,lalala4,,,,,,,0,1,1,1,0,1,,,,,,,,,,,,,,,,,,,
2024-09-10,2024-09-10,2024-09-09,,,mayuge,lalala5,,,,,,,1,0,1,0,0,1,,,,,,,,,,,,,,,,,,,
2024-09-11,2024-09-11,2024-09-10,,,mayuge,lalala,,,,,,,0,0,1,1,0,1,,,,,,,,,,,,,,,,,,,
2024-09-12,2024-09-12,2024-09-11,,,mayuge,lalala4,,,,,,,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,
2024-09-13,2024-09-13,2024-09-12,,,mayuge,lalala5,,,,,,,1,0,1,1,0,1,,,,,,,,,,,,,,,,,,,
2024-09-14,2024-09-14,2024-09-13,,,mayuge,lalala6,,,,,,,0,0,1,0,1,1,,,,,,,,,,,,,,,,,,,
2024-09-15,2024-09-15,2024-09-14,,,mayuge,lalala,,,,,,,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,
2024-09-16,2024-09-16,2024-09-15,,,mayuge,lalala5,,,,,,,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,
2024-09-17,2024-09-17,2024-09-16,,,mayuge,lalala6,,,,,,,1,1,0,1,0,1,,,,,,,,,,,,,,,,,,,
2024-09-18,2024-09-18,2024-09-17,,,mayuge,lalala7,,,,,,,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,
